Temperature (K),Field (T),Energy (keV),Rate (1/s)
11.8551,0.0200143,15.9419,9.60058
11.8551,0.0200143,16.0473,9.60028
11.8551,0.0200143,16.1527,9.59981
11.8551,0.0200143,16.258,9.59918
11.8551,0.0200143,16.3634,9.59843
11.8551,0.0200143,16.4688,9.59762
11.8551,0.0200143,16.5742,9.59679
11.8551,0.0200143,16.6795,9.59599
11.8551,0.0200143,16.7849,9.59526
11.8551,0.0200143,16.8903,9.59465
11.8551,0.0200143,16.9957,9.59421
11.8551,0.0200143,17.1011,9.5938
11.8551,0.0200143,17.2064,9.59327
11.8551,0.0200143,17.3118,9.59262
11.8551,0.0200143,17.4172,9.5919
11.8551,0.0200143,17.5226,9.59112
11.8551,0.0200143,17.6279,9.59032
11.8551,0.0200143,17.7333,9.58953
11.8551,0.0200143,17.8387,9.58876
11.8551,0.0200143,17.9441,9.58804
11.8551,0.0200143,18.0494,9.58737
11.8551,0.0200143,18.1548,9.5866
11.8551,0.0200143,18.2602,9.58573
11.8551,0.0200143,18.3656,9.58482
11.8551,0.0200143,18.471,9.58391
11.8551,0.0200143,18.5763,9.58305
11.8551,0.0200143,18.6817,9.58229
11.8551,0.0200143,18.7871,9.58167
11.8551,0.0200143,18.8925,9.58123
11.8551,0.0200143,18.9978,9.58102
11.8551,0.0200143,19.1032,9.58098
11.8551,0.0200143,19.2086,9.581
11.8551,0.0200143,19.314,9.58106
11.8551,0.0200143,19.4193,9.58114
11.8551,0.0200143,19.5247,9.58122
11.8551,0.0200143,19.6301,9.58127
11.8551,0.0200143,19.7355,9.58127
11.8551,0.0200143,19.8409,9.58121
11.8551,0.0200143,19.9462,9.58105
11.8551,0.0200143,20.0516,9.58079
11.8551,0.0200143,20.157,9.58047
11.8551,0.0200143,20.2624,9.58012
11.8551,0.0200143,20.3677,9.57973
11.8551,0.0200143,20.4731,9.5793
11.8551,0.0200143,20.5785,9.57885
11.8551,0.0200143,20.6839,9.57837
11.8551,0.0200143,20.7892,9.5343
11.8551,0.0200143,20.8946,9.53394
11.8551,0.0200143,21,9.53358
