Temperature (K),Field (T),Energy (keV),Rate (1/s)
11.8551,0.0200143,15.9419,9.65088
11.8551,0.0200143,16.0473,9.64943
11.8551,0.0200143,16.1527,9.64799
11.8551,0.0200143,16.258,9.64656
11.8551,0.0200143,16.3634,9.64505
11.8551,0.0200143,16.4688,9.64356
11.8551,0.0200143,16.5742,9.64199
11.8551,0.0200143,16.6795,9.64053
11.8551,0.0200143,16.7849,9.63914
11.8551,0.0200143,16.8903,9.63779
11.8551,0.0200143,16.9957,9.63653
11.8551,0.0200143,17.1011,9.63522
11.8551,0.0200143,17.2064,9.63373
11.8551,0.0200143,17.3118,9.63213
11.8551,0.0200143,17.4172,9.63047
11.8551,0.0200143,17.5226,9.62871
11.8551,0.0200143,17.6279,9.62694
11.8551,0.0200143,17.7333,9.62525
11.8551,0.0200143,17.8387,9.62354
11.8551,0.0200143,17.9441,9.6219
11.8551,0.0200143,18.0494,9.62032
11.8551,0.0200143,18.1548,9.61871
11.8551,0.0200143,18.2602,9.61697
11.8551,0.0200143,18.3656,9.61515
11.8551,0.0200143,18.471,9.61341
11.8551,0.0200143,18.5763,9.61173
11.8551,0.0200143,18.6817,9.61016
11.8551,0.0200143,18.7871,9.60879
11.8551,0.0200143,18.8925,9.60759
11.8551,0.0200143,18.9978,9.60662
11.8551,0.0200143,19.1032,9.60591
11.8551,0.0200143,19.2086,9.60523
11.8551,0.0200143,19.314,9.60464
11.8551,0.0200143,19.4193,9.60413
11.8551,0.0200143,19.5247,9.60357
11.8551,0.0200143,19.6301,9.60304
11.8551,0.0200143,19.7355,9.60248
11.8551,0.0200143,19.8409,9.60181
11.8551,0.0200143,19.9462,9.60105
11.8551,0.0200143,20.0516,9.60022
11.8551,0.0200143,20.157,9.59934
11.8551,0.0200143,20.2624,9.59838
11.8551,0.0200143,20.3677,9.59745
11.8551,0.0200143,20.4731,9.59646
11.8551,0.0200143,20.5785,9.59544
11.8551,0.0200143,20.6839,9.59442
11.8551,0.0200143,20.7892,9.59339
11.8551,0.0200143,20.8946,9.59235
11.8551,0.0200143,21,9.5913
