Temperature (K),Field (T),Energy (keV),Rate (1/s)
3.5077,0.0200143,15.9419,15.7247
3.5077,0.0200143,16.0473,15.8191
3.5077,0.0200143,16.1527,15.9213
3.5077,0.0200143,16.258,16.0321
3.5077,0.0200143,16.3634,16.1493
3.5077,0.0200143,16.4688,16.2708
3.5077,0.0200143,16.5742,16.394
3.5077,0.0200143,16.6795,16.5163
3.5077,0.0200143,16.7849,16.6348
3.5077,0.0200143,16.8903,16.7462
3.5077,0.0200143,16.9957,16.8473
3.5077,0.0200143,17.1011,16.9441
3.5077,0.0200143,17.2064,17.0462
3.5077,0.0200143,17.3118,17.1528
3.5077,0.0200143,17.4172,17.263
3.5077,0.0200143,17.5226,17.3758
3.5077,0.0200143,17.6279,17.4903
3.5077,0.0200143,17.7333,17.6057
3.5077,0.0200143,17.8387,17.7209
3.5077,0.0200143,17.9441,17.8348
3.5077,0.0200143,18.0494,17.9474
3.5077,0.0200143,18.1548,18.064
3.5077,0.0200143,18.2602,18.1845
3.5077,0.0200143,18.3656,18.3075
3.5077,0.0200143,18.471,18.4318
3.5077,0.0200143,18.5763,18.556
3.5077,0.0200143,18.6817,18.6785
3.5077,0.0200143,18.7871,18.7981
3.5077,0.0200143,18.8925,18.9131
3.5077,0.0200143,18.9978,19.0219
3.5077,0.0200143,19.1032,19.1274
3.5077,0.0200143,19.2086,19.2339
3.5077,0.0200143,19.314,19.3417
3.5077,0.0200143,19.4193,19.4509
3.5077,0.0200143,19.5247,19.5618
3.5077,0.0200143,19.6301,19.6746
3.5077,0.0200143,19.7355,19.7895
3.5077,0.0200143,19.8409,19.9065
3.5077,0.0200143,19.9462,20.0261
3.5077,0.0200143,20.0516,20.1483
3.5077,0.0200143,20.157,20.2738
3.5077,0.0200143,20.2624,20.4025
3.5077,0.0200143,20.3677,20.5342
3.5077,0.0200143,20.4731,20.6685
3.5077,0.0200143,20.5785,20.8051
3.5077,0.0200143,20.6839,20.944
3.5077,0.0200143,20.7892,21.0846
3.5077,0.0200143,20.8946,21.2268
3.5077,0.0200143,21,21.3703
